City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
50,Punta Arenas,CL,-53.15,-70.9167,48.31,66,0,21.85,clear sky
51,Dingle,PH,10.9995,122.6711,78.44,84,73,7.83,broken clouds
52,Geraldton,AU,-28.7667,114.6,72.01,83,74,12.66,broken clouds
53,Ancud,CL,-41.8697,-73.8203,54.23,80,47,14.25,scattered clouds
54,Pangnirtung,CA,66.1451,-65.7125,17.11,69,95,6.35,overcast clouds
55,Dikson,RU,73.5069,80.5464,-17.93,100,21,3.56,few clouds
56,Barrow,US,71.2906,-156.7887,1.42,71,40,20.71,scattered clouds
57,Baiao,BR,-2.7906,-49.6717,74.48,98,97,2.42,heavy intensity rain
58,Qaqortoq,GL,60.7167,-46.0333,26.78,70,82,6.38,broken clouds
59,Gazojak,TM,41.1875,61.4036,46.74,47,15,4.54,few clouds
60,Tura,IN,25.5198,90.2201,68.94,59,1,4.07,clear sky
61,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,2.3,scattered clouds
62,Krasnoselkup,RU,65.7,82.4667,-0.67,100,83,7.16,broken clouds
63,Hasaki,JP,35.7333,140.8333,54.28,75,90,13.82,overcast clouds
64,Belmonte,BR,-15.8631,-38.8828,78.17,80,7,6.13,clear sky
65,Povenets,RU,62.8487,34.8262,-0.02,98,17,1.92,few clouds
66,Tabou,CI,4.423,-7.3528,80.17,88,78,4.65,broken clouds
67,Bathsheba,BB,13.2167,-59.5167,79.41,69,75,14.97,broken clouds
68,Kodiak,US,57.79,-152.4072,33.31,100,100,31.07,heavy snow
69,Ojinaga,MX,29.5667,-104.4167,94.57,11,0,3.44,clear sky
70,Saint George,US,37.1041,-113.5841,84.79,8,0,21.85,clear sky
71,Puerto Asis,CO,0.5133,-76.5007,71.17,99,100,1.52,overcast clouds
72,America Dourada,BR,-11.4553,-41.4361,73.49,65,78,5.17,broken clouds
73,Kavaratti,IN,10.5669,72.642,82.27,74,6,6.42,clear sky
74,Gornyy,RU,55.1153,83.9059,-2.16,95,66,5.06,broken clouds
75,Astana,KZ,51.1801,71.446,31.95,93,100,13.42,mist
76,La Plata,AR,-34.9215,-57.9545,71.04,60,0,5.26,clear sky
77,Sackville,CA,45.9188,-64.3846,42.85,93,89,7.63,overcast clouds
78,Vaini,TO,-21.2,-175.2,84.36,84,40,5.75,scattered clouds
79,Craig,US,40.5153,-107.5464,69.75,21,0,5.75,clear sky
80,Codrington,AU,-38.2667,141.9667,65.41,69,86,8.43,overcast clouds
81,Ginda,IN,30.6945,78.4932,54.64,24,5,8.03,clear sky
82,Tala,EG,30.6803,30.9429,46.85,90,0,6.22,clear sky
83,Bonavista,CA,48.6499,-53.1147,33.03,94,100,22.79,light snow
84,Mayo,US,38.8876,-76.5119,40.98,47,100,18.41,overcast clouds
85,Bud,US,39.447,-86.1758,40.89,51,8,10.96,clear sky
86,Yellowknife,CA,62.456,-114.3525,18.41,57,20,5.75,few clouds
