City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1131,Kribi,CM,80.94,scattered clouds,2.95,9.9167,La Grace Hôtel
1132,Lafiagi,NG,86.04,scattered clouds,8.8667,5.4167,Bus group international
1141,Mayumba,GA,79.61,light rain,-3.432,10.6554,LIKWALE LODGE
1143,Lahaina,US,83.44,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
1148,Tessalit,ML,82.44,scattered clouds,20.1986,1.0114,
1151,Witu,KE,82.56,broken clouds,-2.3889,40.4382,
1153,Coahuayana,MX,85.64,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
1158,Lawton,US,84.11,clear sky,34.6087,-98.3903,Holiday Inn Express & Suites Lawton-Fort Sill
1160,Takhatgarh,IN,75.34,clear sky,25.3333,73.0,Jagdamba bhawan
1162,Acari,PE,75.36,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
1163,The Valley,AI,77.83,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
1166,Bridgetown,BB,79.29,broken clouds,13.1,-59.6167,Hilton Barbados Resort
1173,Sao Miguel Do Araguaia,BR,76.41,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
1174,Kyabe,TD,83.48,scattered clouds,9.4515,18.9449,
1177,Castanos,MX,85.59,scattered clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
1178,Amravati,IN,82.17,few clouds,20.9333,77.75,Hotel Indrapuri
1179,Siguiri,GN,86.85,overcast clouds,11.6667,-9.5,
1181,Santa Cruz Del Sur,CU,79.07,broken clouds,20.7147,-77.9956,
1183,Afonso Bezerra,BR,80.46,broken clouds,-5.4983,-36.5056,Pousada Shammah
1189,Muisne,EC,79.92,overcast clouds,0.6,-80.0333,Quinta Samay
1193,Ixtapa,MX,85.03,scattered clouds,20.7,-105.2,hotel la terminal
1194,Eyl,SO,75.51,broken clouds,7.9803,49.8164,Amiin Hotel
1195,Saquarema,BR,78.84,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
1197,Banda Aceh,ID,79.57,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
1201,Santa Cruz,BO,78.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
1202,Araouane,ML,84.2,scattered clouds,18.9048,-3.5265,
1208,Ciudad Bolivar,VE,88.16,broken clouds,8.1222,-63.5497,Hotel Edi
1212,Lujan,AR,76.71,clear sky,-34.5703,-59.105,Hotel Biarritz
1214,Houston,US,85.15,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
1218,Porto Velho,BR,75.25,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
1220,Bhinmal,IN,75.2,clear sky,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
1221,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
1225,Popondetta,PG,81.72,overcast clouds,-8.7537,148.2534,Timos Transit House
1229,Joao Camara,BR,76.6,broken clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
1230,Porto Novo,BJ,84.02,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
1234,Bacungan,PH,78.46,broken clouds,9.9106,118.7022,Sumayang Property
1242,Ternate,ID,81.36,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
1245,Santa Cruz Cabralia,BR,82.63,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
